Program ID,University,degree,Funding Opportunities,link
6092,Technische Hochschule Ingolstadt,International Automotive Engineering (MEng),Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6092/
4106,University of Bremen,IGS for Dynamics in Logistics,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4106/
6253,University of Duisburg-Essen,Management and Technology of Water and Waste Water,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6253/
3782,University of Siegen,Mechatronics,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3782/
9918,Technical University of Munich,MSc Microelectronics and Chip Design,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9918/
8925,FAU Erlangen-Nürnberg,Autonomy Technologies,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8925/
4819,RWTH Aachen University,Robotic Systems Engineering (RoboSys),Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4819/
9693,SRH University,"Sustainable Battery Production Engineering | Dual Programme, MEng",Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9693/
8376,Rosenheim Technical University of Applied Sciences,Environmental Technology,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8376/
4211,Rhine-Waal University of Applied Sciences,"International Business Administration, BA",Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4211/
6105,Technical University of Applied Sciences Wildau,MA European Business Management,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6105/
3715,Coburg University of Applied Sciences and Arts,MBA Financial Management,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3715/
6527,Technical University of Munich,Agricultural Biosciences,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6527/
3724,Eberswalde University for Sustainable Development,Forest Information Technology (FIT),Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3724/
